pred_label,raw_output
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
To some extent,To some extent<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
To some extent,To some extent<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
No,No<end_of_turn>
No,No<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
Yes,Yes<end_of_turn>
To some extent,To some extent<end_of_turn>
Yes,Yes<end_of_turn>
